Mito_Label,ROI_Area_px2,Cristae_Count,Line_Length_px,Density_per_1000px2
10237-09745,525850.271,23,547.053,0.044
10243-06952,65178.999,0,0.000,0.000
10251-02414,60551.349,0,0.000,0.000
10252-07756,174342.146,0,0.000,0.000
10376-05670,154833.005,0,0.000,0.000
10400-02450,43302.348,0,0.000,0.000
10415-06331,202499.946,0,0.000,0.000
10533-06140,121967.027,0,0.000,0.000
10619-05825,88424.619,0,0.000,0.000
10704-06085,149920.824,9,236.681,0.060
10734-07615,742549.909,31,814.761,0.042
10782-05706,46459.028,0,0.000,0.000
10797-02399,107359.330,0,0.000,0.000
10809-07364,99140.151,0,0.000,0.000
10860-06270,96713.588,0,0.000,0.000
10900-06352,20561.368,0,0.000,0.000
10943-06734,39485.342,0,0.000,0.000
11077-06393,26692.199,0,0.000,0.000
11084-06575,21463.276,0,0.000,0.000
11154-06144,84736.457,0,0.000,0.000
11211-06475,92654.999,0,0.000,0.000
11398-05981,82336.736,0,0.000,0.000
11440-06180,68620.210,0,0.000,0.000
11621-06246,59585.019,6,97.259,0.101
11750-06003,187253.397,11,283.554,0.059
11974-03955,347025.425,25,525.137,0.072
12198-05686,349478.831,0,0.000,0.000
12229-06764,202295.943,13,236.842,0.064
12284-09837,519665.755,0,0.000,0.000
12351-04399,148712.911,6,120.768,0.040
12653-08064,300883.138,0,0.000,0.000
12679-08902,113989.432,8,161.177,0.070
12782-07690,127684.484,0,0.000,0.000
12872-09263,59917.866,4,120.857,0.067
13067-06782,121038.276,8,164.073,0.066
13337-05484,48842.643,4,79.312,0.082
13338-05627,78675.417,0,0.000,0.000
13373-04113,55118.424,4,73.112,0.073
13382-06349,89637.900,0,0.000,0.000
13384-00978,79212.267,4,110.438,0.050
13640-04235,61710.946,3,67.716,0.049
13780-04716,38331.114,4,106.779,0.104
13794-00784,180650.138,0,0.000,0.000
13847-03656,332568.045,16,499.288,0.048
13878-04324,172898.019,10,216.037,0.058
13910-01856,395739.224,19,365.548,0.048
13925-03973,90201.593,7,126.772,0.078
14039-03141,71325.935,0,0.000,0.000
14097-04172,151971.593,7,156.083,0.046
14161-07041,658382.513,12,247.645,0.018
14178-03237,107520.385,7,147.411,0.065
14207-01359,142259.970,6,173.462,0.042
14230-02239,67954.515,0,0.000,0.000
14301-02015,48477.585,5,112.184,0.103
14373-01543,158381.586,8,136.894,0.051
14382-04208,116646.841,10,224.056,0.086
14849-03341,64046.245,7,108.300,0.109
14859-04502,177037.135,13,235.128,0.073
14964-04778,41380.424,0,0.000,0.000
15100-03784,36516.560,0,0.000,0.000
15195-02115,90690.127,0,0.000,0.000
15195-04725,192192.420,18,395.244,0.094
15320-06582,47666.941,3,55.703,0.063
15335-02875,62414.220,0,0.000,0.000
15417-01409,507940.944,23,538.906,0.045
15450-02743,75701.266,0,0.000,0.000
15529-06346,394708.471,0,0.000,0.000
15602-01324,123523.893,0,0.000,0.000
15612-01803,131061.272,0,0.000,0.000
15678-07802,941447.589,0,0.000,0.000
15679-02074,110403.271,0,0.000,0.000
15736-06823,37219.834,0,0.000,0.000
15817-04810,478897.341,24,557.324,0.050
15872-02829,39114.915,5,92.771,0.128
15912-07638,199681.482,0,0.000,0.000
15933-06806,52874.389,0,0.000,0.000
15971-00752,95290.934,7,153.601,0.073
15974-06939,84988.776,0,0.000,0.000
16054-05548,181326.569,9,191.024,0.050
16347-09268,112292.984,5,103.591,0.045
16498-05621,360876.163,23,494.905,0.064
16501-05112,202006.044,0,0.000,0.000
16532-03274,143897.364,0,0.000,0.000
16572-09202,71567.518,5,88.490,0.070
16724-04131,102828.313,8,136.498,0.078
16775-04778,86196.690,0,0.000,0.000
16822-03013,140284.361,10,178.305,0.071
16857-07836,259695.981,0,0.000,0.000
17131-09240,72711.009,0,0.000,0.000
17261-09716,160265.930,0,0.000,0.000
17270-04429,415463.105,0,0.000,0.000
17305-09515,77585.610,6,91.961,0.077
17324-09334,87995.138,0,0.000,0.000
17327-09983,50549.827,0,0.000,0.000
17382-03240,231538.181,9,175.905,0.039
17512-03645,103139.686,0,0.000,0.000
17792-03065,66419.123,5,100.681,0.075
18485-09586,106677.530,0,0.000,0.000
18587-03278,107192.906,0,0.000,0.000
18748-03302,60207.765,3,62.627,0.050
18786-09113,94974.193,0,0.000,0.000
